"receiver","ligand"
"C1qb","Tgfb1"
"C1qb","Il4"
"C1qb","Tnf"
"C1qb","Bmp7"
"C1qb","Sparc"
"C1qb","B2m"
"C1qb","Nrp1"
"C1qb","Csf1"
"C1qb","Ang"
"C1qb","Bgn"
"C1qb","Ccl25"
"C1qb","Pf4"
"C1qb","Hp"
"C1qb","Ccl3"
"C1qb","Adam17"
"C1qb","Cd33"
"C1qb","Nrg3"
"C1qb","Angptl3"
"C1qb","Mag"
"C1qb","C1qb"
"C1qb","Vegfa"
"C1qb","Anxa2"
"C1qb","Cd300c2"
"C1qb","Cd300c"
"C1qb","Mpdz"
"C1qb","Ltbp1"
"C1qb","Nrg2"
"C1qb","Saraf"
"C1qb","Qrfp"
"C1qb","Cd55"
