"receiver","ligand"
"Pf4","Tgfb1"
"Pf4","Ltbp1"
"Pf4","S100a9"
"Pf4","Cd14"
"Pf4","Kng1"
"Pf4","Il4"
"Pf4","Tgm2"
"Pf4","S100a8"
"Pf4","Anxa1"
"Pf4","Ppbp"
"Pf4","Timp2"
"Pf4","Apoa1"
"Pf4","Cd44"
"Pf4","Icam1"
"Pf4","Hebp1"
"Pf4","Tnc"
"Pf4","Lcn2"
"Pf4","Mmp14"
"Pf4","Mmp25"
"Pf4","Hp"
"Pf4","Osm"
"Pf4","Alox5ap"
"Pf4","Fasl"
"Pf4","Il16"
"Pf4","Lgals3"
"Pf4","Pf4"
"Pf4","Fgf3"
"Pf4","Vwf"
"Pf4","Ccl3"
"Pf4","Apoe"
