"receiver","ligand"
"Fcnb","Psap"
"Fcnb","Cd59a"
"Fcnb","Cd59b"
"Fcnb","Cxcl12"
"Fcnb","Sema4c"
"Fcnb","Egf"
"Fcnb","Psen1"
"Fcnb","Npnt"
"Fcnb","Spp1"
"Fcnb","Tgm2"
"Fcnb","Lgals3bp"
"Fcnb","Tgfb1"
"Fcnb","Alox5ap"
"Fcnb","Cfh"
"Fcnb","Hp"
"Fcnb","Gdf3"
"Fcnb","Angptl6"
"Fcnb","Mmp9"
"Fcnb","Gpc3"
"Fcnb","Col18a1"
"Fcnb","Nlgn2"
"Fcnb","Nucb2"
"Fcnb","Ibsp"
"Fcnb","Cdh1"
"Fcnb","Gm1123"
"Fcnb","Ctsg"
"Fcnb","Ncam1"
"Fcnb","Siglec1"
"Fcnb","Mfge8"
"Fcnb","Car12"
