"receiver","ligand"
"Ltf","Cd59b"
"Ltf","Cd59a"
"Ltf","Psen1"
"Ltf","Tgfb1"
"Ltf","Enho"
"Ltf","Nectin4"
"Ltf","Mmp25"
"Ltf","Cd96"
"Ltf","Ltbp1"
"Ltf","Sema4d"
"Ltf","Ibsp"
"Ltf","Csf1"
"Ltf","Cd82"
"Ltf","Ltbp3"
"Ltf","Esam"
"Ltf","Cfh"
"Ltf","Tgm2"
"Ltf","Npnt"
"Ltf","Col6a2"
"Ltf","Col12a1"
"Ltf","Spp1"
"Ltf","Il18"
"Ltf","H2-DMb1"
"Ltf","H2-DMb2"
"Ltf","Selp"
"Ltf","Nrg3"
"Ltf","Col11a2"
"Ltf","Col3a1"
"Ltf","Orm1"
"Ltf","Fasl"
