"test_ligand","auroc","aupr","aupr_corrected","pearson","rank","receiver"
"Traf2",0.535510877881848,0.0252690978198778,0.00760198344855846,0.0169212181434857,218,"Gstm1_CD63"
"Selp",0.538134092066517,0.0252490214105945,0.00758190703927515,0.0247910729623449,219,"Gstm1_CD63"
"Enpp1",0.530819230097403,0.0252477838125658,0.00758066944124643,0.0177347106347631,220,"Gstm1_CD63"
"Ctsd",0.53885647543344,0.025247311354192,0.00758019698287264,0.0207020601471485,221,"Gstm1_CD63"
"Itgb2",0.526136193098089,0.0252227456757549,0.00755563130443557,0.0179832081221309,222,"Gstm1_CD63"
"Calm1",0.540073978945401,0.0252187489928939,0.00755163462157457,0.0171043347362916,223,"Gstm1_CD63"
"Selplg",0.5248227408375,0.0252143167776439,0.00754720240632453,0.03552893135793,224,"Gstm1_CD63"
"Cd82",0.531759650844968,0.0252082959610274,0.00754118158970803,0.0209605299698435,225,"Gstm1_CD63"
"Gas6",0.533881286795728,0.0251610273736722,0.00749391300235284,0.0227477561760876,226,"Gstm1_CD63"
"Xcl1",0.537266247936479,0.0251338642199883,0.00746674984866894,0.0220490097034613,227,"Gstm1_CD63"
"Cd9",0.533770884229225,0.0251337517082336,0.0074666373369142,0.013067049863584,228,"Gstm1_CD63"
"Gstp1",0.529430433466925,0.0251326765719749,0.0074655622006556,0.0195330067814591,229,"Gstm1_CD63"
"Cd52",0.538680569394322,0.025130807860512,0.00746369348919267,0.0150140679610881,230,"Gstm1_CD63"
"Msn",0.527457948615757,0.0251223942542162,0.00745527988289683,0.0174264399570669,231,"Gstm1_CD63"
"L1cam",0.535057581550291,0.0251138517378276,0.00744673736650824,0.0189215826052839,232,"Gstm1_CD63"
"Erfe",0.530607343277567,0.0251037940907351,0.00743667971941573,0.0175781973140995,233,"Gstm1_CD63"
"Adam12",0.534444063109674,0.0250835734859404,0.00741645911462109,0.0193515556414782,234,"Gstm1_CD63"
"Ggt1",0.539223971441707,0.0250827112147773,0.00741559684345791,0.0213306210914698,235,"Gstm1_CD63"
"Angptl4",0.552422767407934,0.0250735636940187,0.00740644932269938,0.0269344583293961,236,"Gstm1_CD63"
"Calm2",0.541902540673654,0.0250467688717317,0.00737965450041237,0.0128518634476093,237,"Gstm1_CD63"
"Cd209a",0.52478060949597,0.0250374134011928,0.00737029902987341,0.0183063466058279,238,"Gstm1_CD63"
"Tfpi",0.527384756942129,0.0250078913272357,0.00734077695591637,0.0104403374830798,239,"Gstm1_CD63"
"Cd7",0.539403260289266,0.0249915752957411,0.00732446092442177,0.0137416228624908,240,"Gstm1_CD63"
"Spn",0.54751492741107,0.0249816091845313,0.00731449481321192,0.0242051972774592,241,"Gstm1_CD63"
"Mmp2",0.517965173064475,0.0249546989746427,0.00728758460332338,0.0156308240415178,242,"Gstm1_CD63"
"Adam10",0.534781113841955,0.024948086119782,0.00728097174846267,0.0215040550772438,243,"Gstm1_CD63"
"Nrtn",0.531621878282872,0.0249074004848532,0.0072402861135338,0.01951708037488,244,"Gstm1_CD63"
"Dlk1",0.533066337488643,0.0249067378221287,0.00723962345080933,0.0173472571332451,245,"Gstm1_CD63"
"Jaml",0.524074525115193,0.0248905698277347,0.00722345545641536,0.0159902802393377,246,"Gstm1_CD63"
"H2-M3",0.530954542435171,0.0248889142851303,0.00722179991381095,0.00506025098169742,247,"Gstm1_CD63"
"Gzmb",0.544135194247011,0.0248860458127269,0.00721893144140758,0.0210522141876297,248,"Gstm1_CD63"
"Il15",0.53894842631751,0.0248793649399057,0.00721225056858632,0.0362644594665869,249,"Gstm1_CD63"
"Cd86",0.539352518162602,0.0248757470233734,0.00720863265205403,0.0143169420776805,250,"Gstm1_CD63"
"Lilra6",0.519364118120286,0.0248659171875388,0.00719880281621946,0.0141136570783294,251,"Gstm1_CD63"
"Reck",0.545111595775284,0.0248658166724924,0.00719870230117306,0.0238268548496274,252,"Gstm1_CD63"
"Cd47",0.524660981088246,0.0248622192258129,0.00719510485449356,0.0143304977021014,253,"Gstm1_CD63"
"S100a9",0.516997689849364,0.024847840131662,0.00718072576034267,0.0152951453775658,254,"Gstm1_CD63"
"Tslp",0.509263974689212,0.0248400845346083,0.00717297016328894,0.0324831740098158,255,"Gstm1_CD63"
"Gpi1",0.532396233888601,0.0248249462666403,0.00715783189532099,0.0110497427958936,256,"Gstm1_CD63"
"Wnt6",0.521921213776285,0.0248166022058225,0.00714948783450311,0.0316123152988568,257,"Gstm1_CD63"
"Ccl17",0.532159437297489,0.0248007963592176,0.00713368198789823,0.015558935921498,258,"Gstm1_CD63"
"Sdc2",0.522439090996319,0.0247876315467201,0.0071205171754007,0.0169208986752389,259,"Gstm1_CD63"
"Pecam1",0.530364088597587,0.024776039072068,0.00710892470074864,0.016804073839104,260,"Gstm1_CD63"
"Dcn",0.523463774426953,0.0247715904210503,0.00710447604973099,0.0120453096744459,261,"Gstm1_CD63"
"Cdh5",0.528599185173698,0.0247703369887999,0.00710322261748059,0.0176918836778725,262,"Gstm1_CD63"
"Adam15",0.524543812904859,0.0247646454750763,0.00709753110375696,0.0151768403123611,263,"Gstm1_CD63"
"Pira2",0.513921486861167,0.0247588756146952,0.00709176124337583,0.0122540866802468,264,"Gstm1_CD63"
"Lilra5",0.513921486861167,0.0247588756146952,0.00709176124337583,0.0122540866802468,265,"Gstm1_CD63"
"Vegfa",0.550838075415705,0.024751490112001,0.00708437574068162,0.0262187066206726,266,"Gstm1_CD63"
"B2m",0.531394922589038,0.0247389488841559,0.00707183451283652,0.0169082689433326,267,"Gstm1_CD63"
"H2-Oa",0.543258431803806,0.0247340711648437,0.0070669567935243,0.0206332314953344,268,"Gstm1_CD63"
"Lamb1",0.531234700479994,0.0247330046759667,0.00706589030464736,0.0136519488731757,269,"Gstm1_CD63"
"Tnfsf13b",0.552565152890632,0.0246977395976325,0.00703062522631315,0.0154414483200817,270,"Gstm1_CD63"
"Mmp9",0.527142732374337,0.0246963850366688,0.0070292706653494,0.0128242123846646,271,"Gstm1_CD63"
"Vsig10",0.535346042852179,0.0246561234967425,0.0069890091254231,0.0225181351628205,272,"Gstm1_CD63"
"Cd300c2",0.529687526908704,0.0246447029487408,0.0069775885774214,0.0206071622633735,273,"Gstm1_CD63"
"Cd28",0.531936786996229,0.0246434256579959,0.00697631128667659,0.0130580063476898,274,"Gstm1_CD63"
"Hsp90b1",0.526731874912351,0.0246295355872201,0.00696242121590071,0.0145213751783824,275,"Gstm1_CD63"
"Calr",0.542940140281987,0.0246197685905414,0.00695265421922205,0.0134533826262571,276,"Gstm1_CD63"
"Serpinf1",0.516402623091165,0.0245734467343934,0.00690633236307409,0.0136658631409575,277,"Gstm1_CD63"
"Gm1123",0.509242447726379,0.0245399813431682,0.00687286697184885,0.00992013950454733,278,"Gstm1_CD63"
"Pirb",0.513081935310865,0.0245344212960467,0.00686730692472734,0.0116610609887842,279,"Gstm1_CD63"
"Rtn4",0.523175313125049,0.0245232087476434,0.00685609437632405,0.0139477455593808,280,"Gstm1_CD63"
"Gp5",0.528899332541136,0.0245217844058995,0.00685467003458011,0.0181233220665581,281,"Gstm1_CD63"
"Sema5a",0.51872384474015,0.0245204837719783,0.00685336940065894,0.0132815105019718,282,"Gstm1_CD63"
"Hebp1",0.531668007488921,0.0244612790302398,0.00679416465892048,0.0203890705207406,283,"Gstm1_CD63"
"Tctn3",0.51938533755507,0.0244093358326154,0.00674222146129603,0.0138281231840714,284,"Gstm1_CD63"
