"test_ligand","auroc","aupr","aupr_corrected","pearson","rank","receiver"
"Flt3l",0.533197713617229,0.0299018031963251,0.0113330117966074,0.0241292663277935,240,"Pf4"
"F13a1",0.514238452589399,0.0298613218385482,0.0112925304388305,0.0247984681842062,241,"Pf4"
"Cdh1",0.51391784395711,0.0297663458333199,0.0111975544336022,0.0311319679667739,242,"Pf4"
"B2m",0.517954083408715,0.0297484030818348,0.0111796116821172,0.0232272662637973,243,"Pf4"
"Col4a1",0.524595955478441,0.0297220329428036,0.011153241543086,0.0310235671847947,244,"Pf4"
"Bst2",0.532388912829391,0.029714732210099,0.0111459408103814,0.0302063290688923,245,"Pf4"
"Ccl25",0.5419249976383,0.0297057779421549,0.0111369865424372,0.0280964287096845,246,"Pf4"
"Angpt2",0.529655813207136,0.0296852682638001,0.0111164768640824,0.0230935696328736,247,"Pf4"
"Gm49368",0.515675206308921,0.0296622878775343,0.0110934964778167,0.0238913958974949,248,"Pf4"
"Mpz",0.516177956878632,0.0296403629082166,0.011071571508499,0.0228538168767164,249,"Pf4"
"Ptprc",0.517081872639106,0.0296202018652508,0.0110514104655331,0.0252847864709766,250,"Pf4"
"Angpt1",0.530791693033576,0.0296113900148719,0.0110425986151542,0.025453272438352,251,"Pf4"
"Tgfbi",0.518295397341181,0.029590621811352,0.0110218304116343,0.0225976434462023,252,"Pf4"
"Sema5a",0.515015224866046,0.0294952536868812,0.0109264622871635,0.0224789760150073,253,"Pf4"
"Cd300c",0.524396343443994,0.029485029641416,0.0109162382416983,0.027231198534952,254,"Pf4"
"Anxa2",0.537649029633176,0.0294662524185469,0.0108974610188292,0.0257704332590275,255,"Pf4"
"F10",0.519464276239772,0.0294365715646665,0.0108677801649488,0.018825804648953,256,"Pf4"
"Adam9",0.526241056280898,0.0294262247081388,0.0108574333084211,0.025445912658764,257,"Pf4"
"H2-Eb1",0.50438693547323,0.0293910396758928,0.0108222482761751,0.0236031652210937,258,"Pf4"
"Plekho2",0.522813358542051,0.0293683388953951,0.0107995474956775,0.0266949540046901,259,"Pf4"
"Gm1123",0.513869962950457,0.0293552380344786,0.0107864466347609,0.0179079735498653,260,"Pf4"
"Entpd1",0.540347836102025,0.0293410795197791,0.0107722881200615,0.0185677524597051,261,"Pf4"
"Lgals3bp",0.537324538757084,0.0293352101500812,0.0107664187503635,0.0267213401217123,262,"Pf4"
"Cd28",0.522099025686229,0.0292699888099801,0.0107011974102624,0.0178093778540985,263,"Pf4"
"Btla",0.543317752594968,0.0292511647187811,0.0106823733190634,0.0355461121219003,264,"Pf4"
