"receiver","ligand"
"CD34","Tgfb1"
"CD34","Il4"
"CD34","Bmp7"
"CD34","Inhba"
"CD34","Mpdz"
"CD34","Gdf11"
"CD34","Pf4"
"CD34","Mcam"
"CD34","Angptl3"
"CD34","Zdhhc5"
"CD34","Mmp14"
"CD34","Ltbp1"
"CD34","Matn1"
"CD34","Cd33"
"CD34","Podxl"
"CD34","Hp"
"CD34","Tgm2"
"CD34","Sema4c"
"CD34","Ccl3"
"CD34","Ifitm6"
"CD34","Cd44"
"CD34","Cfh"
"CD34","Csf1"
"CD34","Ncam1"
"CD34","Alox5ap"
"CD34","Ang"
"CD34","Tnf"
"CD34","Reck"
"CD34","Psen1"
"CD34","Tcn2"
