"receiver","ligand"
"Cd74","Cd33"
"Cd74","Jaml"
"Cd74","Wnt4"
"Cd74","Clec2i"
"Cd74","Gm1123"
"Cd74","Clec2d"
"Cd74","Pltp"
"Cd74","Il4"
"Cd74","Ltf"
"Cd74","Csf1"
"Cd74","Tnfsf9"
"Cd74","Furin"
"Cd74","Tnf"
"Cd74","Cdh1"
"Cd74","Apoa1"
"Cd74","Bmp7"
"Cd74","Camp"
"Cd74","Pomc"
"Cd74","Calr"
"Cd74","Hbegf"
"Cd74","Ccl25"
"Cd74","Tgfb1"
"Cd74","Angptl4"
"Cd74","Ang"
"Cd74","Btla"
"Cd74","Tnfsf13b"
"Cd74","Pf4"
"Cd74","Ccl3"
"Cd74","Cd24a"
"Cd74","S100a9"
