"test_ligand","auroc","aupr","aupr_corrected","pearson","rank","receiver"
"Angptl4",0.586658363685266,0.0595086190633409,0.0268631001227804,0.061992938083643,273,"Ly86"
"Fgfrl1",0.57377556053468,0.0595036083369232,0.0268580893963627,0.0576329104316442,274,"Ly86"
"Il12a",0.571549140100798,0.0594976661712114,0.0268521472306509,0.0642056823510051,275,"Ly86"
"Lamb1",0.558235169266693,0.0594256287497423,0.0267801098091818,0.0475853805761229,276,"Ly86"
"Il18",0.562677497919254,0.0594195882691525,0.026774069328592,0.0432065636352084,277,"Ly86"
"Tnfsf14",0.574835291942565,0.0594003169600503,0.0267547980194898,0.0654045184496536,278,"Ly86"
"Calm3",0.567426182557464,0.0593070220196312,0.0266615030790707,0.0519908000441018,279,"Ly86"
"Cd47",0.548219030513469,0.0592173766797106,0.02657185773915,0.0478746609399648,280,"Ly86"
"Tcn2",0.540323856321044,0.0592122852538528,0.0265667663132923,0.0610912703549565,281,"Ly86"
"Ceacam10",0.541144977130102,0.0590888208855276,0.026443301944967,0.0496515530026276,282,"Ly86"
"H2-DMb1",0.572036372932025,0.0590220193452422,0.0263765004046817,0.0548174912714402,283,"Ly86"
"H2-DMb2",0.572036372932025,0.0590220193452422,0.0263765004046817,0.0548174912714402,284,"Ly86"
"F8",0.558912456274185,0.0589581798586956,0.0263126609181351,0.0453793111373272,285,"Ly86"
"F13a1",0.540956257838274,0.0588923616713393,0.0262468427307788,0.0527659000950585,286,"Ly86"
"Cd320",0.571907890301867,0.0588896903786743,0.0262441714381138,0.0545258112262777,287,"Ly86"
"Gstp1",0.544714625060991,0.0588426953075114,0.0261971763669508,0.0533654434825369,288,"Ly86"
"Tctn3",0.54825256948574,0.0587534388532124,0.0261079199126518,0.0514390008619474,289,"Ly86"
"Col8a1",0.547632015068173,0.0586518398574347,0.0260063209168742,0.0458588204170034,290,"Ly86"
"Inhba",0.568781424014695,0.0584817197323745,0.025836200791814,0.0739606703479981,291,"Ly86"
"Mpz",0.550503518421731,0.0584403999975456,0.025794881056985,0.0510897394201148,292,"Ly86"
"Ebi3",0.557395360075074,0.058435507535935,0.0257899885953744,0.0668307307947622,293,"Ly86"
"Rspo3",0.600045920025734,0.0584060406148003,0.0257605216742398,0.0725402308397683,294,"Ly86"
"Cxcl12",0.582196512347343,0.0583933392870428,0.0257478203464822,0.0584860066295103,295,"Ly86"
"Copa",0.571838476309468,0.058222175117422,0.0255766561768614,0.04161484885853,296,"Ly86"
"Vegfb",0.540778050761659,0.0581670556609045,0.025521536720344,0.0433681104972996,297,"Ly86"
"Adam15",0.539301334817732,0.0580190134907809,0.0253734945502204,0.0470602415492087,298,"Ly86"
"Il23a",0.565521469280635,0.0580036407073039,0.0253581217667434,0.0500955628612883,299,"Ly86"
"Gpi1",0.549941698920823,0.0579506803150468,0.0253051613744863,0.0331637137903536,300,"Ly86"
"Wnt6",0.551125407723777,0.0579329776926022,0.0252874587520417,0.0663122446587465,301,"Ly86"
"Lrpap1",0.535410814032581,0.0578623043527046,0.0252167854121441,0.0412590747924166,302,"Ly86"
"Esam",0.560433890847828,0.0578251729004208,0.0251796539598603,0.0590897606562891,303,"Ly86"
"H2-DMa",0.570393130150578,0.0577574161175114,0.0251118971769508,0.0595508230856098,304,"Ly86"
"Tnfrsf14",0.570946773484113,0.0577094034473181,0.0250638845067576,0.0383515992352503,305,"Ly86"
"Crlf1",0.573632561035921,0.0576220265297961,0.0249765075892356,0.0622680917466388,306,"Ly86"
"Psap",0.534143007508054,0.0576124804537977,0.0249669615132372,0.0664533550238559,307,"Ly86"
"Fam3c",0.555246863522083,0.0575363534774637,0.0248908345369032,0.0494580106653561,308,"Ly86"
"Mpzl3",0.547864284965801,0.0573919757631551,0.0247464568225946,0.0507456492596304,309,"Ly86"
"Spon1",0.542646889018381,0.0573383991691271,0.0246928802285665,0.0451451471467071,310,"Ly86"
"Clec11a",0.53543784544307,0.0570720236178493,0.0244265046772888,0.051981605504201,311,"Ly86"
"Rarres2",0.556129555877268,0.057065459406879,0.0244199404663184,0.0584426862975385,312,"Ly86"
"Fst",0.544747830312156,0.0569397576038553,0.0242942386632948,0.0476197975625141,313,"Ly86"
"Dlk1",0.556513001440996,0.0569338131318461,0.0242882941912856,0.0507932735064926,314,"Ly86"
"Trf",0.543976433949579,0.0568965835775805,0.02425106463702,0.0422788794745203,315,"Ly86"
"Hdc",0.533193070347747,0.0568790817484338,0.0242335628078733,0.054998745318357,316,"Ly86"
"Adam11",0.540206553348322,0.0561726770251491,0.0235271580845886,0.0428296895329545,317,"Ly86"
"Npnt",0.566067437028498,0.0560188037229847,0.0233732847824242,0.0641798068353067,318,"Ly86"
"Cdh5",0.549893809940483,0.0559739761497977,0.0233284572092371,0.0489515631555454,319,"Ly86"
"Timp3",0.531820642252974,0.0557686330786433,0.0231231141380827,0.0431357389353784,320,"Ly86"
"Cd200",0.532317552996586,0.0557572428257607,0.0231117238852002,0.0386513673315564,321,"Ly86"
"Vegfa",0.564268012764169,0.0557077488780027,0.0230622299374421,0.069237891862814,322,"Ly86"
"Tspan5",0.533986492304063,0.0557029064729977,0.0230573875324372,0.0465516070336886,323,"Ly86"
"Slpi",0.530223119264573,0.055654410702057,0.0230088917614965,0.0448180795709064,324,"Ly86"
"Mxra8",0.560219808751107,0.0556495615737105,0.02300404263315,0.0575553130962302,325,"Ly86"
"Grn",0.54514979739791,0.0555794319802467,0.0229339130396862,0.0303924475449871,326,"Ly86"
"Cd9",0.558481288590664,0.0555189214981905,0.02287340255763,0.0268558581857155,327,"Ly86"
"Il2",0.566448546544421,0.055400046269084,0.0227545273285235,0.0498717616443608,328,"Ly86"
"Mfge8",0.541347045266607,0.0553723836588021,0.0227268647182416,0.0412348796449058,329,"Ly86"
"Antxr1",0.5452152067369,0.0553381568058997,0.0226926378653392,0.0459617336468568,330,"Ly86"
"St6gal1",0.570599703522156,0.0549714326502859,0.0223259137097254,0.0192667677099366,331,"Ly86"
"Cdh2",0.530611070063411,0.0548263587579742,0.0221808398174137,0.0400950513792538,332,"Ly86"
"Egf",0.560167080814573,0.0544116087826651,0.0217660898421046,0.0651601512457169,333,"Ly86"
"Cd52",0.554352157206687,0.0543423136327117,0.0216967946921512,0.0444970962668324,334,"Ly86"
"Il27",0.555478132256346,0.0543325603240247,0.0216870413834642,0.0721229242751965,335,"Ly86"
"Pltp",0.564781943284765,0.0542107909899371,0.0215652720493766,0.0434674706395692,336,"Ly86"
"H2-Ob",0.52714654428445,0.0540986894474373,0.0214531705068768,0.0359717389515708,337,"Ly86"
"Camp",0.56605442190492,0.0540317669341512,0.0213862479935906,0.0338422896428518,338,"Ly86"
"Cntn3",0.53944750466709,0.0540071363592507,0.0213616174186902,0.0448041766871545,339,"Ly86"
"Icam2",0.518693054662855,0.0539077785887049,0.0212622596481444,0.0301894616031855,340,"Ly86"
"Lfng",0.553418405520549,0.0538036257999974,0.0211581068594368,0.0522947615388546,341,"Ly86"
"Ecm1",0.540962431678944,0.0535729055852457,0.0209273866446852,0.041504753113016,342,"Ly86"
"Ltf",0.548164633971339,0.0535011943119828,0.0208556753714223,0.0149718900871611,343,"Ly86"
"Icosl",0.557822523105175,0.0533218000340537,0.0206762810934931,0.0529643640650606,344,"Ly86"
"Mfng",0.57253328367564,0.0532116126494713,0.0205660937089108,0.0588973309680298,345,"Ly86"
"Pi16",0.525227647860153,0.0531952330532497,0.0205497141126892,0.040750339564437,346,"Ly86"
